"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other White Background","ONS 2021 19+1","Age 15","4.680194502","% of Total Age Group Population","0.853258322","% of Total Ethnic Group Population","5005","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other White Background","ONS 2021 19+1","Age 15","3.479777427","% of Total Age Group Population","0.813260612","% of Total Ethnic Group Population","2095","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other White Background","ONS 2021 19+1","Age 15","3.183061067","% of Total Age Group Population","0.91326038","% of Total Ethnic Group Population","2270","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other White Background","ONS 2021 19+1","Age 15","3.196961304","% of Total Age Group Population","0.970663848","% of Total Ethnic Group Population","2020","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Other","ONS 2021 5+1","Age 15","2.545376832","% of Total Age Group Population","1.375399698","% of Total Ethnic Group Population","17270","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Other","ONS 2021 5+1","Age 15","2.618321263","% of Total Age Group Population","1.372131054","% of Total Ethnic Group Population","16865","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Other","ONS 2021 5+1","Age 15","1.178524662","% of Total Age Group Population","1.534963047","% of Total Ethnic Group Population","405","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Other","ONS 2021 5+1","Age 15","1.540971719","% of Total Age Group Population","1.374181554","% of Total Ethnic Group Population","850","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Other","ONS 2021 5+1","Age 15","1.41060385","% of Total Age Group Population","1.1774942","% of Total Ethnic Group Population","1015","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Other","ONS 2021 5+1","Age 15","7.646852622","% of Total Age Group Population","1.371302333","% of Total Ethnic Group Population","7635","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Other","ONS 2021 5+1","Age 15","1.211282229","% of Total Age Group Population","1.335877863","% of Total Ethnic Group Population","350","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Other","ONS 2021 5+1","Age 15","1.86425026","% of Total Age Group Population","1.46684832","% of Total Ethnic Group Population","1615","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Other","ONS 2021 5+1","Age 15","1.528894707","% of Total Age Group Population","1.205263352","% of Total Ethnic Group Population","1635","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Other","ONS 2021 5+1","Age 15","0.930155303","% of Total Age Group Population","1.150133498","% of Total Ethnic Group Population","560","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Other","ONS 2021 5+1","Age 15","2.832503681","% of Total Age Group Population","1.626474496","% of Total Ethnic Group Population","2020","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Other","ONS 2021 5+1","Age 15","1.883358392","% of Total Age Group Population","1.50661518","% of Total Ethnic Group Population","1190","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Arab","ONS 2021 19+1","Age 15","0.834948451","% of Total Age Group Population","1.707148023","% of Total Ethnic Group Population","5665","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Arab","ONS 2021 19+1","Age 15","0.847674716","% of Total Age Group Population","1.705317405","% of Total Ethnic Group Population","5460","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Arab","ONS 2021 19+1","Age 15","0.596537174","% of Total Age Group Population","1.769529564","% of Total Ethnic Group Population","205","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Arab","ONS 2021 19+1","Age 15","0.389775199","% of Total Age Group Population","1.61472024","% of Total Ethnic Group Population","215","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Arab","ONS 2021 19+1","Age 15","0.32659301","% of Total Age Group Population","1.506410256","% of Total Ethnic Group Population","235","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Arab","ONS 2021 19+1","Age 15","2.373679203","% of Total Age Group Population","1.695460886","% of Total Ethnic Group Population","2370","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Arab","ONS 2021 19+1","Age 15","0.640249178","% of Total Age Group Population","1.789168279","% of Total Ethnic Group Population","185","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Arab","ONS 2021 19+1","Age 15","0.888837585","% of Total Age Group Population","1.756186566","% of Total Ethnic Group Population","770","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Arab","ONS 2021 19+1","Age 15","0.397419114","% of Total Age Group Population","1.437996955","% of Total Ethnic Group Population","425","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Arab","ONS 2021 19+1","Age 15","0.21592891","% of Total Age Group Population","1.265206813","% of Total Ethnic Group Population","130","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Arab","ONS 2021 19+1","Age 15","0.988571829","% of Total Age Group Population","2.219423894","% of Total Ethnic Group Population","705","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Arab","ONS 2021 19+1","Age 15","0.688454538","% of Total Age Group Population","1.711250983","% of Total Ethnic Group Population","435","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Ethnic Background","ONS 2021 19+1","Age 15","1.710428381","% of Total Age Group Population","1.25623109","% of Total Ethnic Group Population","11605","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Ethnic Background","ONS 2021 19+1","Age 15","1.770646546","% of Total Age Group Population","1.254765192","% of Total Ethnic Group Population","11405","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Ethnic Background","ONS 2021 19+1","Age 15","0.581987487","% of Total Age Group Population","1.351351351","% of Total Ethnic Group Population","200","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Ethnic Background","ONS 2021 19+1","Age 15","1.151196519","% of Total Age Group Population","1.308199423","% of Total Ethnic Group Population","635","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Ethnic Background","ONS 2021 19+1","Age 15","1.08401084","% of Total Age Group Population","1.104815864","% of Total Ethnic Group Population","780","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Ethnic Background","ONS 2021 19+1","Age 15","5.273173419","% of Total Age Group Population","1.262635347","% of Total Ethnic Group Population","5265","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Ethnic Background","ONS 2021 19+1","Age 15","0.571033051","% of Total Age Group Population","1.04035309","% of Total Ethnic Group Population","165","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Ethnic Background","ONS 2021 19+1","Age 15","0.975412675","% of Total Age Group Population","1.275375443","% of Total Ethnic Group Population","845","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Ethnic Background","ONS 2021 19+1","Age 15","1.131475594","% of Total Age Group Population","1.140433553","% of Total Ethnic Group Population","1210","106940"
