week,virus,age,percent,date_start
44,A,<5,0,28/10/2024
45,fluB,<5,0,04/11/2024
45,H1,<5,0,04/11/2024
45,H3,<5,0,04/11/2024
45,A,<5,0,04/11/2024
46,fluB,<5,0.004453926,11/11/2024
46,H1,<5,0.020627298,11/11/2024
46,H3,<5,0,11/11/2024
46,A,<5,0.001472741,11/11/2024
47,fluB,<5,0,18/11/2024
47,H1,<5,0.038166304,18/11/2024
47,H3,<5,0,18/11/2024
47,A,<5,0,18/11/2024
48,fluB,<5,0.0041326,25/11/2024
48,H1,<5,0.026509336,25/11/2024
48,H3,<5,0.013236817,25/11/2024
48,A,<5,8.925702452922124e-6,25/11/2024
49,fluB,<5,0,02/12/2024
49,H1,<5,0.13062765539648002,02/12/2024
49,H3,<5,0,02/12/2024
49,A,<5,0.001472741,02/12/2024
50,fluB,<5,0,09/12/2024
50,H1,<5,0.16138562604877027,09/12/2024
50,H3,<5,0.011781927,09/12/2024
50,A,<5,0,09/12/2024
51,fluB,<5,0,16/12/2024
51,H1,<5,0.212770895,16/12/2024
51,H3,<5,0.047136635,16/12/2024
51,A,<5,0,16/12/2024
52,fluB,<5,0,23/12/2024
52,H1,<5,0.10657288728622973,23/12/2024
52,H3,<5,0.036818523,23/12/2024
52,A,<5,0.036818523,23/12/2024
53,fluB,<5,0,30/12/2024
53,H1,<5,0.415518226,30/12/2024
53,H3,<5,0,30/12/2024
53,A,<5,0,30/12/2024
54,fluB,<5,0.097415117,06/01/2025
54,H1,<5,0.08525831,06/01/2025
54,H3,<5,0.2328448,06/01/2025
54,A,<5,0.051554857,06/01/2025
55,fluB,<5,0.0412903,13/01/2025
55,H1,<5,0.12796779606555028,13/01/2025
55,H3,<5,0.014888072,13/01/2025
55,A,<5,0,13/01/2025
56,fluB,<5,0,20/01/2025
56,H1,<5,0.382644864,20/01/2025
56,H3,<5,0,20/01/2025
56,A,<5,0.001463815,20/01/2025
57,fluB,<5,0.074833089,27/01/2025
57,H1,<5,0.058757899,27/01/2025
57,H3,<5,0.277027027,27/01/2025
57,A,<5,1.785140490551118e-5,27/01/2025
58,fluB,<5,0.061426684,03/02/2025
58,H1,<5,0.10292227498304096,03/02/2025
58,H3,<5,0.038460852,03/02/2025
58,A,<5,0.001472741,03/02/2025
59,fluB,<5,0.03474776,10/02/2025
59,H1,<5,0,10/02/2025
59,H3,<5,0.1614034774536759,10/02/2025
59,A,<5,0,10/02/2025
60,fluB,<5,0.12442429219179574,17/02/2025
60,H1,<5,0.029303081,17/02/2025
60,H3,<5,0,17/02/2025
60,A,<5,0.005899889,17/02/2025
61,fluB,<5,0.069772216,24/02/2025
61,H1,<5,0,24/02/2025
61,H3,<5,0.23178264129387016,24/02/2025
61,A,<5,0.001463815,24/02/2025
62,fluB,<5,0.088757185,03/03/2025
62,H1,<5,0,03/03/2025
62,H3,<5,0.11970259559427364,03/03/2025
62,A,<5,0,03/03/2025
63,fluB,<5,0.053250741,10/03/2025
63,H1,<5,0,10/03/2025
63,H3,<5,0.092925488,10/03/2025
63,A,<5,0.03094541,10/03/2025
64,fluB,<5,0.020680853,17/03/2025
64,H1,<5,0,17/03/2025
64,H3,<5,0.11347245528223104,17/03/2025
64,A,<5,0.004418223,17/03/2025
65,fluB,<5,0.023465672,24/03/2025
65,H1,<5,0.033721304,24/03/2025
65,H3,<5,0.00456996,24/03/2025
65,A,<5,0,24/03/2025
66,fluB,<5,0.021832268,31/03/2025
66,H1,<5,0,31/03/2025
66,H3,<5,0.055705309,31/03/2025
66,A,<5,0,31/03/2025
67,fluB,<5,0.040826163,07/04/2025
67,H1,<5,0,07/04/2025
67,H3,<5,0.090899354,07/04/2025
