Year,Week,date,group,ILI,N,ILI_per_100k,positivity,Season,percentage_h3,Influenza_cases,ILIplus
2023,38,2023-09-24,45-64,482.87857199999996,14632684,3.3,0.009,2023 to 2024,0.6666666666666667,4.345907147999999,2.8972714319999997
2023,39,2023-10-01,45-64,541.409308,14632684,3.7,0.005,2023 to 2024,0.5,2.70704654,1.35352327
2023,40,2023-10-08,45-64,585.3073599999999,14632684,3.9999999999999996,0.011999999999999999,2023 to 2024,0.37499999999999994,7.023688319999998,2.633883119999999
2023,41,2023-10-15,45-64,541.409308,14632684,3.7,0.006999999999999998,2023 to 2024,0.28571428571428575,3.7898651559999994,1.082818616
2023,42,2023-10-22,45-64,570.674676,14632684,3.8999999999999995,0.005,2023 to 2024,0.4285714285714286,2.85337338,1.2228743057142857
2023,43,2023-10-29,45-64,541.409308,14632684,3.7,0.005999999999999999,2023 to 2024,0.5714285714285715,3.248455848,1.8562604845714288
2023,44,2023-11-05,45-64,599.940044,14632684,4.1,0.011999999999999999,2023 to 2024,0.4444444444444444,7.199280527999998,3.1996802346666655
2023,45,2023-11-12,45-64,599.940044,14632684,4.1,0.016,2023 to 2024,0.5555555555555556,9.599040704,5.332800391111111
2023,46,2023-11-19,45-64,570.674676,14632684,3.8999999999999995,0.013999999999999997,2023 to 2024,0.6,7.9894454639999974,4.793667278399998
2023,47,2023-11-26,45-64,629.2054120000001,14632684,4.300000000000001,0.011999999999999999,2023 to 2024,0.7,7.550464944000001,5.2853254608
2023,48,2023-12-03,45-64,775.5322520000001,14632684,5.3,0.023999999999999997,2023 to 2024,0.588235294117647,18.612774048,10.948690616470586
2023,49,2023-12-10,45-64,921.859092,14632684,6.3,0.046,2023 to 2024,0.6129032258064515,42.405518232,25.99047891638709
2023,50,2023-12-17,45-64,1082.818616,14632684,7.4,0.081,2023 to 2024,0.6326530612244897,87.70830789600001,55.48892948522449
2023,51,2023-12-24,45-64,1258.4108240000003,14632684,8.600000000000001,0.10499999999999998,2023 to 2024,0.5769230769230769,132.13313652,76.23065568461537
2023,52,2023-12-31,45-64,790.164936,14632684,5.3999999999999995,0.117,2023 to 2024,0.5625000000000001,92.449297512,52.00272985050001
2024,1,2024-01-07,45-64,1258.4108240000003,14632684,8.600000000000001,0.099,2023 to 2024,0.5365853658536585,124.58267157600004,66.84923840663416
2024,2,2024-01-14,45-64,1331.574244,14632684,9.1,0.092,2023 to 2024,0.5,122.50483044799999,61.252415223999996
2024,3,2024-01-21,45-64,1229.145456,14632684,8.4,0.117,2023 to 2024,0.5,143.81001835200001,71.90500917600001
2024,4,2024-01-28,45-64,1565.6971879999999,14632684,10.7,0.166,2023 to 2024,0.49438202247191015,259.905733208,128.49272203541574
2024,5,2024-02-04,45-64,1434.003032,14632684,9.8,0.128,2023 to 2024,0.5308641975308642,183.55238809600002,97.4413912114568
2024,6,2024-02-11,45-64,1419.3703480000001,14632684,9.700000000000001,0.09800000000000002,2023 to 2024,0.5211267605633803,139.09829410400005,72.48784340630988
2024,7,2024-02-18,45-64,1170.6147199999998,14632684,7.999999999999999,0.09599999999999999,2023 to 2024,0.4827586206896551,112.37901311999997,54.25193736827584
2024,8,2024-02-25,45-64,1053.553248,14632684,7.2,0.077,2023 to 2024,0.45454545454545453,81.12360009599999,36.874363679999995
2024,9,2024-03-03,45-64,907.226408,14632684,6.2,0.05500000000000001,2023 to 2024,0.4571428571428572,49.89745244000001,22.810263972571434
2024,10,2024-03-10,45-64,877.9610399999999,14632684,5.999999999999999,0.049999999999999996,2023 to 2024,0.3888888888888889,43.89805199999999,17.071464666666664
2024,11,2024-03-17,45-64,877.9610399999999,14632684,5.999999999999999,0.059000000000000004,2023 to 2024,0.393939393939394,51.79970136,20.40594296
2024,12,2024-03-24,45-64,790.164936,14632684,5.3999999999999995,0.043000000000000003,2023 to 2024,0.3076923076923077,33.977092248000005,10.45448992246154
2024,13,2024-03-31,45-64,570.674676,14632684,3.8999999999999995,0.034,2023 to 2024,0.3157894736842105,19.402938984000002,6.127243889684211
2024,14,2024-04-07,45-64,556.0419919999999,14632684,3.8,0.034,2023 to 2024,0.3333333333333333,18.905427728,6.301809242666666
2024,15,2024-04-14,45-64,556.0419919999999,14632684,3.8,0.017,2023 to 2024,0.37499999999999994,9.452713864,3.5447676989999994
2024,16,2024-04-21,45-64,541.409308,14632684,3.7,0.022000000000000002,2023 to 2024,0.3333333333333333,11.911004776000002,3.9703349253333338
2024,17,2024-04-28,45-64,512.14394,14632684,3.5000000000000004,0.024999999999999998,2023 to 2024,0.26666666666666666,12.8035985,3.4142929333333334
2024,18,2024-05-05,45-64,482.87857199999996,14632684,3.3,0.018,2023 to 2024,0.3333333333333333,8.691814295999999,2.8972714319999993
2024,19,2024-05-12,45-64,307.286364,14632684,2.1,0.009,2023 to 2024,0.23076923076923075,2.7655772759999997,0.6382101406153845
2024,20,2024-05-19,45-64,409.71515200000005,14632684,2.8000000000000003,0.01,2023 to 2024,0.3,4.097151520000001,1.2291454560000001
2024,21,2024-05-26,45-64,307.286364,14632684,2.1,0.008,2023 to 2024,0.2857142857142857,2.458290912,0.7023688319999999
2024,22,2024-06-02,45-64,278.02099599999997,14632684,1.9,0.001,2023 to 2024,0.4,0.27802099599999996,0.11120839839999999
2024,23,2024-06-09,45-64,321.91904800000003,14632684,2.2,0.011000000000000001,2023 to 2024,0.25,3.5411095280000007,0.8852773820000002
2024,24,2024-06-16,45-64,380.449784,14632684,2.6000000000000005,0.002,2023 to 2024,0.25,0.760899568,0.190224892
2024,25,2024-06-23,45-64,336.5517319999999,14632684,2.2999999999999994,0.008,2023 to 2024,0.5,2.692413855999999,1.3462069279999995
2024,26,2024-06-30,45-64,278.02099599999997,14632684,1.9,0.005999999999999999,2023 to 2024,0.3333333333333333,1.6681259759999996,0.5560419919999998
2024,27,2024-07-07,45-64,263.388312,14632684,1.8,0.005,2024 to 2025,0.25,1.3169415599999998,0.32923538999999996
2024,28,2024-07-14,45-64,336.5517319999999,14632684,2.2999999999999994,0.01,2024 to 2025,0.5,3.365517319999999,1.6827586599999995
2024,29,2024-07-21,45-64,307.286364,14632684,2.1,0.01,2024 to 2025,0.5555555555555556,3.07286364,1.7071464666666667
2024,30,2024-07-28,45-64,336.5517319999999,14632684,2.2999999999999994,0.009,2024 to 2025,0.5714285714285715,3.028965587999999,1.7308374788571423
2024,31,2024-08-04,45-64,248.755628,14632684,1.7,0.011000000000000001,2024 to 2025,0.7,2.7363119080000002,1.9154183356
2024,32,2024-08-11,45-64,190.224892,14632684,1.3000000000000003,0.006999999999999998,2024 to 2025,1,1.3315742439999998,1.3315742439999998
2024,33,2024-08-18,45-64,175.59220799999997,14632684,1.1999999999999997,0.019,2024 to 2025,0.4,3.3362519519999996,1.3345007808
2024,34,2024-08-25,45-64,175.59220799999997,14632684,1.1999999999999997,0.013999999999999997,2024 to 2025,0.4,2.458290911999999,0.9833163647999996
2024,35,2024-09-01,45-64,146.32683999999998,14632684,0.9999999999999999,0.01,2024 to 2025,0.5,1.4632683999999998,0.7316341999999999
2024,36,2024-09-08,45-64,248.755628,14632684,1.7,0.011000000000000001,2024 to 2025,0.5,2.7363119080000002,1.3681559540000001
2024,37,2024-09-15,45-64,263.388312,14632684,1.8,0.013999999999999997,2024 to 2025,0.5,3.687436367999999,1.8437181839999994
