week,virus,age,percent,date_start
34,H1,<5,0,2024-08-19
34,H3,<5,0,2024-08-19
34,A,<5,0,2024-08-19
35,fluB,<5,0,2024-08-26
35,H1,<5,0,2024-08-26
35,H3,<5,0.11081259595130157,2024-08-26
35,A,<5,0,2024-08-26
36,fluB,<5,0,2024-09-02
36,H1,<5,0,2024-09-02
36,H3,<5,0,2024-09-02
36,A,<5,0,2024-09-02
37,fluB,<5,0,2024-09-09
37,H1,<5,0,2024-09-09
37,H3,<5,0,2024-09-09
37,A,<5,0.05009104216501869,2024-09-09
38,fluB,<5,0,2024-09-16
38,H1,<5,0,2024-09-16
38,H3,<5,0.02783926595023045,2024-09-16
38,A,<5,0,2024-09-16
39,fluB,<5,0,2024-09-23
39,H1,<5,0,2024-09-23
39,H3,<5,0,2024-09-23
39,A,<5,0,2024-09-23
40,fluB,<5,0,2024-09-30
40,H1,<5,0.04518190581598813,2024-09-30
40,H3,<5,0.01768181655896295,2024-09-30
40,A,<5,0.00147274090470927,2024-09-30
41,fluB,<5,0,2024-10-07
41,H1,<5,0,2024-10-07
41,H3,<5,0.01705701738726883,2024-10-07
41,A,<5,0,2024-10-07
42,fluB,<5,0.02866935627833955,2024-10-14
42,H1,<5,0.02060944696347589,2024-10-14
42,H3,<5,0.01767289085651047,2024-10-14
42,A,<5,0,2024-10-14
43,fluB,<5,0,2024-10-21
43,H1,<5,0.0064175800635513,2024-10-21
43,H3,<5,0.02798207718947477,2024-10-21
43,A,<5,0,2024-10-21
44,fluB,<5,0,2024-10-28
44,H1,<5,0,2024-10-28
44,H3,<5,0.04307544003713115,2024-10-28
44,A,<5,0,2024-10-28
45,fluB,<5,0,2024-11-04
45,H1,<5,0,2024-11-04
45,H3,<5,0,2024-11-04
45,A,<5,0,2024-11-04
46,fluB,<5,0.00445392552393886,2024-11-11
46,H1,<5,0.02062729836838173,2024-11-11
46,H3,<5,0,2024-11-11
46,A,<5,0.00147274090470927,2024-11-11
47,fluB,<5,0,2024-11-18
47,H1,<5,0.03816630368810059,2024-11-18
47,H3,<5,0,2024-11-18
47,A,<5,0,2024-11-18
48,fluB,<5,0.00413260023563877,2024-11-25
48,H1,<5,0.0265093362847657,2024-11-25
48,H3,<5,0.01323681673747723,2024-11-25
48,A,<5,8.925702452922124e-6,2024-11-25
49,fluB,<5,0,2024-12-02
49,H1,<5,0.13062765539648002,2024-12-02
49,H3,<5,0,2024-12-02
